"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>11/04/2018</nobr>","<nobr>09:12:45</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>11/04/2018</nobr>","<nobr>09:07:13</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>10/04/2018</nobr>","<nobr>18:58:16</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>9</nobr>","<nobr>0,00</nobr>"
"<nobr>10/04/2018</nobr>","<nobr>18:49:42</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>10/04/2018</nobr>","<nobr>09:01:27</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>10/04/2018</nobr>","<nobr>08:54:38</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>09/04/2018</nobr>","<nobr>21:44:50</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>09/04/2018</nobr>","<nobr>21:40:38</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>09/04/2018</nobr>","<nobr>15:30:02</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>09/04/2018</nobr>","<nobr>15:23:44</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>09/04/2018</nobr>","<nobr>13:32:04</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>17</nobr>","<nobr>0,00</nobr>"
"<nobr>09/04/2018</nobr>","<nobr>13:15:59</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>25/03/2018</nobr>","<nobr>13:09:46</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>20</nobr>","<nobr>0,00</nobr>"
"<nobr>25/03/2018</nobr>","<nobr>12:49:01</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>23/03/2018</nobr>","<nobr>20:20:06</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>23/03/2018</nobr>","<nobr>20:14:15</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>23/03/2018</nobr>","<nobr>16:23:02</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>23/03/2018</nobr>","<nobr>16:14:41</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>22/03/2018</nobr>","<nobr>19:55:18</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>22/03/2018</nobr>","<nobr>19:48:37</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>22/03/2018</nobr>","<nobr>08:46:07</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>22/03/2018</nobr>","<nobr>08:39:28</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>21/03/2018</nobr>","<nobr>20:27:50</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>21/03/2018</nobr>","<nobr>20:19:17</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>21/03/2018</nobr>","<nobr>15:03:14</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>21/03/2018</nobr>","<nobr>14:56:32</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>21/03/2018</nobr>","<nobr>13:34:40</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>21/03/2018</nobr>","<nobr>13:28:07</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>21/03/2018</nobr>","<nobr>08:57:05</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>20/03/2018</nobr>","<nobr>22:28:46</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>20/03/2018</nobr>","<nobr>22:24:18</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>20/03/2018</nobr>","<nobr>08:33:03</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>20/03/2018</nobr>","<nobr>08:25:34</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>20/03/2018</nobr>","<nobr>00:59:03</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>11/03/2018</nobr>","<nobr>15:22:39</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>11/03/2018</nobr>","<nobr>15:17:21</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>08/03/2018</nobr>","<nobr>01:07:44</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>08/03/2018</nobr>","<nobr>01:02:48</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>07/03/2018</nobr>","<nobr>21:59:50</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>07/03/2018</nobr>","<nobr>21:55:35</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>02/03/2018</nobr>","<nobr>03:59:03</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>9</nobr>","<nobr>0,00</nobr>"
"<nobr>02/03/2018</nobr>","<nobr>03:50:29</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>01/03/2018</nobr>","<nobr>21:41:55</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>01/03/2018</nobr>","<nobr>21:37:38</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>01/03/2018</nobr>","<nobr>19:43:43</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>01/03/2018</nobr>","<nobr>19:37:07</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>01/03/2018</nobr>","<nobr>13:05:40</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>7</nobr>","<nobr>0,00</nobr>"
"<nobr>01/03/2018</nobr>","<nobr>12:58:50</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>28/02/2018</nobr>","<nobr>15:15:08</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>28/02/2018</nobr>","<nobr>15:07:16</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>28/02/2018</nobr>","<nobr>13:25:10</nobr>","<nobr>24</nobr>","<nobr>Ospedale</nobr>","","<nobr>18</nobr>","<nobr>0,00</nobr>"
"<nobr>28/02/2018</nobr>","<nobr>13:07:50</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>28/02/2018</nobr>","<nobr>09:33:01</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>28/02/2018</nobr>","<nobr>09:28:19</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>27/02/2018</nobr>","<nobr>09:10:19</nobr>","<nobr>24</nobr>","<nobr>Mart</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>27/02/2018</nobr>","<nobr>09:07:22</nobr>","<nobr>12</nobr>","<nobr>Municipio</nobr>","","",""
"<nobr>27/02/2018</nobr>","<nobr>09:07:11</nobr>","<nobr>24</nobr>","<nobr>Municipio</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>27/02/2018</nobr>","<nobr>09:02:55</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
"<nobr>21/02/2018</nobr>","<nobr>14:42:58</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>8</nobr>","<nobr>0,00</nobr>"
"<nobr>21/02/2018</nobr>","<nobr>14:34:31</nobr>","<nobr>12</nobr>","<nobr>Ospedale</nobr>","","",""
