"Data","Ora","Azione","Stazione","Elett.","Minuti","Consumo"
"<nobr>12/04/2018</nobr>","<nobr>08:22:42</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>12/04/2018</nobr>","<nobr>08:19:35</nobr>","<nobr>12</nobr>","<nobr>Stazione FF.SS.</nobr>","","",""
"<nobr>11/04/2018</nobr>","<nobr>13:33:07</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>11/04/2018</nobr>","<nobr>09:42:09</nobr>","<nobr>12</nobr>","<nobr>Biblioteca</nobr>","","",""
"<nobr>28/03/2018</nobr>","<nobr>18:38:25</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>28/03/2018</nobr>","<nobr>14:53:26</nobr>","<nobr>24</nobr>","<nobr>Via Paoli</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
"<nobr>27/03/2018</nobr>","<nobr>14:32:57</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>31</nobr>","<nobr>0,00</nobr>"
"<nobr>27/03/2018</nobr>","<nobr>14:01:35</nobr>","<nobr>12</nobr>","<nobr>P. Rosmini</nobr>","","",""
"<nobr>26/03/2018</nobr>","<nobr>08:33:43</nobr>","<nobr>24</nobr>","<nobr>Centro Santa Chiara</nobr>","","<nobr>4</nobr>","<nobr>0,00</nobr>"
"<nobr>26/03/2018</nobr>","<nobr>08:29:42</nobr>","<nobr>12</nobr>","<nobr>Biblioteca</nobr>","","",""
"<nobr>21/03/2018</nobr>","<nobr>18:48:34</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>2</nobr>","<nobr>0,00</nobr>"
"<nobr>21/03/2018</nobr>","<nobr>18:46:40</nobr>","<nobr>12</nobr>","<nobr>Via Paoli</nobr>","","",""
"<nobr>05/03/2018</nobr>","<nobr>09:42:33</nobr>","<nobr>24</nobr>","<nobr>Bezzi</nobr>","","<nobr>6</nobr>","<nobr>0,00</nobr>"
"<nobr>05/03/2018</nobr>","<nobr>09:36:44</nobr>","<nobr>12</nobr>","<nobr>Biblioteca</nobr>","","",""
"<nobr>05/03/2018</nobr>","<nobr>09:35:42</nobr>","<nobr>12</nobr>","<nobr>Stazione Autocorriere</nobr>","","",""
"<nobr>05/03/2018</nobr>","<nobr>09:35:28</nobr>","<nobr>24</nobr>","<nobr>Stazione Autocorriere</nobr>","","<nobr>1</nobr>","<nobr>0,00</nobr>"
"<nobr>05/03/2018</nobr>","<nobr>09:34:58</nobr>","<nobr>12</nobr>","<nobr>Stazione Autocorriere</nobr>","","",""
"<nobr>27/02/2018</nobr>","<nobr>17:11:14</nobr>","<nobr>24</nobr>","<nobr>Stazione FF.SS.</nobr>","","<nobr>5</nobr>","<nobr>0,00</nobr>"
"<nobr>27/02/2018</nobr>","<nobr>17:06:43</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>27/02/2018</nobr>","<nobr>17:06:27</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>22/02/2018</nobr>","<nobr>17:06:53</nobr>","<nobr>12</nobr>","<nobr>Mart</nobr>","","",""
"<nobr>21/02/2018</nobr>","<nobr>20:17:53</nobr>","<nobr>24</nobr>","<nobr>P. Rosmini</nobr>","","<nobr>3</nobr>","<nobr>0,00</nobr>"
